platformBlocks
-75, 575, 12, <null>, <null>,
75, 575, 12, <null>, <null>,
225, 575, 12, <null>, <null>,
375, 575, 12, <null>, <null>,
525, 575, 12, <null>, <null>,
675, 575, 12, <null>, <null>,
825, 575, 12, <null>, <null>,
975, 575, 12, <null>, <null>,
1125, 575, 12, <null>, <null>,
1275, 575, 12, <null>, <null>,
1425, 575, 12, <null>, <null>,
1575, 575, 12, <null>, <null>,
1725, 575, 12, <null>, <null>,
1875, 575, 12, <null>, <null>,
2025, 575, 12, <null>, <null>,
2175, 575, 12, <null>, <null>,
2325, 575, 12, <null>, <null>,
2475, 575, 12, <null>, <null>,
2625, 575, 12, <null>, <null>,
2775, 575, 12, <null>, <null>,
2925, 575, 12, <null>, <null>,
3075, 575, 12, <null>, <null>,
3225, 575, 12, <null>, <null>,
3375, 575, 12, <null>, <null>,
3525, 575, 12, <null>, <null>,
3675, 575, 12, <null>, <null>,
3825, 575, 12, <null>, <null>,
3975, 575, 12, <null>, <null>,
4125, 575, 12, <null>, <null>,
4275, 575, 12, <null>, <null>,
4425, 575, 12, <null>, <null>,
4575, 575, 12, <null>, <null>,
4725, 575, 12, <null>, <null>,
4875, 575, 12, <null>, <null>,
5025, 575, 12, <null>, <null>,
5175, 575, 12, <null>, <null>,
5325, 575, 12, <null>, <null>,
5475, 575, 12, <null>, <null>,
5625, 575, 12, <null>, <null>,
5775, 575, 12, <null>, <null>,
5925, 575, 12, <null>, <null>,
6075, 575, 12, <null>, <null>,
6225, 575, 12, <null>, <null>,
6375, 575, 12, <null>, <null>,
6525, 575, 12, <null>, <null>,
6675, 575, 12, <null>, <null>,
6825, 575, 12, <null>, <null>,
6975, 575, 12, <null>, <null>,
7125, 575, 12, <null>, <null>,
7275, 575, 12, <null>, <null>,
7425, 575, 12, <null>, <null>,
7575, 575, 12, <null>, <null>,
7725, 575, 12, <null>, <null>,
7875, 575, 12, <null>, <null>,
8025, 575, 12, <null>, <null>,
8175, 575, 12, <null>, <null>,
8325, 575, 12, <null>, <null>,
8475, 575, 12, <null>, <null>,
8625, 575, 12, <null>, <null>,
8775, 575, 12, <null>, <null>,
8925, 575, 12, <null>, <null>,
9075, 575, 12, <null>, <null>,
9225, 575, 12, <null>, <null>,
9375, 575, 12, <null>, <null>,
9525, 575, 12, <null>, <null>,
9675, 575, 12, <null>, <null>,
9825, 575, 12, <null>, <null>,
9975, 575, 12, <null>, <null>,
10125, 575, 12, <null>, <null>,
10275, 575, 12, <null>, <null>,
10425, 575, 12, <null>, <null>,
10575, 575, 12, <null>, <null>,
10725, 575, 12, <null>, <null>,
10875, 575, 12, <null>, <null>,
11025, 575, 12, <null>, <null>,
11175, 575, 12, <null>, <null>,
11325, 575, 12, <null>, <null>,
11475, 575, 12, <null>, <null>,
11625, 575, 12, <null>, <null>,
11775, 575, 12, <null>, <null>,
11925, 575, 12, <null>, <null>,
12075, 575, 12, <null>, <null>,
12225, 575, 12, <null>, <null>,
12375, 575, 12, <null>, <null>,
12525, 575, 12, <null>, <null>,
12675, 575, 12, <null>, <null>,
12825, 575, 12, <null>, <null>,
12975, 575, 12, <null>, <null>,
13125, 575, 12, <null>, <null>,
13275, 575, 12, <null>, <null>,
13425, 575, 12, <null>, <null>,
13575, 575, 12, <null>, <null>,
13725, 575, 12, <null>, <null>,
13875, 575, 12, <null>, <null>,
14025, 575, 12, <null>, <null>,
14175, 575, 12, <null>, <null>,
14325, 575, 12, <null>, <null>,
14475, 575, 12, <null>, <null>,
14625, 575, 12, <null>, <null>,
14775, 575, 12, <null>, <null>,
14925, 575, 12, <null>, <null>,
15075, 575, 12, <null>, <null>,
15225, 575, 12, <null>, <null>,
15375, 575, 12, <null>, <null>,
15525, 575, 12, <null>, <null>,
15675, 575, 12, <null>, <null>,
15825, 575, 12, <null>, <null>,
15975, 575, 12, <null>, <null>,
16125, 575, 12, <null>, <null>,
16275, 575, 12, <null>, <null>,
16425, 575, 12, <null>, <null>,
16575, 575, 12, <null>, <null>,
16725, 575, 12, <null>, <null>,
16875, 575, 12, <null>, <null>,
17025, 575, 12, <null>, <null>,
17175, 575, 12, <null>, <null>,
17325, 575, 12, <null>, <null>,
17475, 575, 12, <null>, <null>,
17625, 575, 12, <null>, <null>,
17775, 575, 12, <null>, <null>,
17925, 575, 12, <null>, <null>,
18075, 575, 12, <null>, <null>,
18225, 575, 12, <null>, <null>,
18375, 575, 12, <null>, <null>,
18525, 575, 12, <null>, <null>,
18675, 575, 12, <null>, <null>,
18825, 575, 12, <null>, <null>,
18975, 575, 12, <null>, <null>,
19125, 575, 12, <null>, <null>,
19275, 575, 12, <null>, <null>,
19425, 575, 12, <null>, <null>,
19575, 575, 12, <null>, <null>,
19725, 575, 12, <null>, <null>,
19875, 575, 12, <null>, <null>,
20025, 575, 12, <null>, <null>,
20175, 575, 12, <null>, <null>,
